Artist,Title,Album,Date,Lyric,Year,words,negative,neutral,positive,dominant_sentiment,dominant_sentiment_score
Selena Gomez,Lose You To Love Me,Rare (Target Exclusive),2019-10-23,you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my  'cause it wasn't yours i saw the signs and i ignored it rosecolored glasses all distorted set fire to my purpose and i let it burn you got off on the hurtin' when it wasn't yours yeah  pre we'd always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah   to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me   i gave my all and they all know it then you tore me down and now it's showing in two months you replaced us like it was easy made me think i deserved it in the thick of healing yeah  pre we'd always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah   to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me   you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my    to love love yeah to love love yeah to love yeah i needed to hate you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me to love love yeah to love love yeah to love yeah   and now the chapter is closed and done to love love yeah to love love yeah to love yeah and now it's goodbye it's goodbye for us,2019.0,"['promised', 'world', 'fell', 'put', 'first', 'adored', 'set', 'fire', 'forest', 'let', 'burn', 'sang', 'offkey', 'cause', 'saw', 'sign', 'ignored', 'rosecolored', 'glass', 'distorted', 'purpose', 'got', 'hurtin', 'yeah', 'pre', 'wed', 'always', 'go', 'blindly', 'needed', 'lose', 'find', 'dancing', 'killing', 'softly', 'hate', 'love', 'gave', 'know', 'tore', 'showing', 'two', 'month', 'replaced', 'u', 'like', 'easy', 'made', 'think', 'deserved', 'thick', 'healing', 'chapter', 'closed', 'done', 'goodbye']",0.188,0.422,0.39,Positive,0.39
Selena Gomez,Back to You,Rare (Target Exclusive),2018-05-10,took you like a shot thought that i could chase you with a cold evenin' let a couple years water down how im feelin' about you feelin' about you and every time we talk every single word builds up to this moment and i gotta convince myself i dont want it even though i do even though i do  pre you could break my heart in two but when it heals it beats for you i know it's forward but it's true   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know id go back to you  post i know id go back to you oh i know i'd go back to you   we never got it right playin and replayin' old conversations overthinkin' every word and i hate it 'cause its not me 'cause it's not me 'cause it's not me and what's the point in hidin' everybody knows we got unfinished business and i'll regret it if i didn't say this isn't what it could be isn't what it could be  pre you could break my heart in two but when it heals it beats for you i know it's forward but it's true   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know i'd go back to you  post i know i'd go back to you i know i'd go back to you i'd go back to you i'd go back to you i know i said i wasn't sure but i'd go back to you i know i'd go back to you   you can break my heart in two but when it heals it beats for you i know it's forward but it's true won't lie i'd go back to you you know my thoughts are runnin' loose it's just a thing you make me do and i could fight but what's the use i know i'd go back to you   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know i'd go back to you  post i'll go back to you i'll go back to you i know i'd go back to you i'd go back to you i'd go back to you i know i'd go back to you go back to you go back to you go back to you go back to you go back to you go back to you,2018.0,"['took', 'like', 'shot', 'thought', 'could', 'chase', 'cold', 'evenin', 'let', 'couple', 'year', 'water', 'im', 'feelin', 'every', 'time', 'talk', 'single', 'word', 'build', 'moment', 'gotta', 'convince', 'dont', 'want', 'even', 'though', 'pre', 'break', 'heart', 'two', 'heals', 'beat', 'know', 'forward', 'true', 'wanna', 'hold', 'supposed', 'lyin', 'close', 'someone', 'else', 'stuck', 'head', 'cant', 'get', 'id', 'go', 'back', 'post', 'oh', 'never', 'got', 'right', 'playin', 'replayin', 'old', 'conversation', 'overthinkin', 'hate', 'cause', 'whats', 'point', 'hidin', 'everybody', 'unfinished', 'business', 'ill', 'regret', 'say', 'said', 'sure', 'lie', 'runnin', 'loose', 'thing', 'make', 'fight', 'use']",0.057,0.912,0.031,Negative,0.057
Selena Gomez,Fetish,Rare (Target Exclusive),2017-07-13,selena gomez take it or leave it baby take it or leave it but i know you won't leave it 'cause i know that you need it look in the mirror when i look in the mirror baby i see it clearer why you wanna be nearer  pre selena gomez i'm not surprised i sympathize ah i can't deny your appetite ah   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love   selena gomez reaching your limit say you're reaching your limit going over your limit but i know you can't quit it something about me got you hooked on my body take you over and under and twisted up like origami  pre selena gomez i'm not surprised i sympathize ah i can't deny your appetite ah   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love   gucci mane it's gucci the way you walk the way you talk i blame you 'cause it's all your fault you're playin' hard don't turn me off you actin' hard but i know you soft you my fetish i'm so with it all these rumors bein' spreaded might as well go 'head and whip it 'cause they sayin' we already did it call on gucci if you ever need me i'll be south beach in the drop top gleamin' water diamonds aquafina just need you in a blue bikini   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love,2017.0,"['selena', 'gomez', 'take', 'leave', 'baby', 'know', 'cause', 'need', 'look', 'mirror', 'see', 'clearer', 'wanna', 'nearer', 'pre', 'im', 'surprised', 'sympathize', 'ah', 'cant', 'deny', 'appetite', 'got', 'fetish', 'love', 'push', 'come', 'right', 'back', 'point', 'blaming', 'id', 'reaching', 'limit', 'say', 'going', 'quit', 'something', 'hooked', 'body', 'twisted', 'like', 'origami', 'gucci', 'mane', 'way', 'walk', 'talk', 'blame', 'fault', 'playin', 'hard', 'turn', 'actin', 'soft', 'rumor', 'bein', 'spreaded', 'might', 'well', 'go', 'head', 'whip', 'sayin', 'already', 'call', 'ever', 'ill', 'south', 'beach', 'drop', 'top', 'gleamin', 'water', 'diamond', 'aquafina', 'blue', 'bikini']",0.099,0.751,0.151,Positive,0.151
Selena Gomez,Bad Liar,Rare (Target Exclusive),2017-05-18,i was walking down the street the other day tryna distract myself but then i see your face oh wait that's someone else tryna play it coy tryna make it disappear but just like the battle of troy there's nothing subtle here in my room there's a king size space bigger than it used to be if you want you can rent that place call me an amenity even if it's in my dreams  pre ooh you're taking up a fraction of my mind ooooh every time i watch you serpentine   oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar   i see how your attention builds it's like looking in a mirror your touch like a happy pill but still all we do is fear what could possibly happen next can we focus on the love paint my kiss across your chest if you're the art i'll be the brush  pre ooh you're taking up a fraction of my mind ooooh every time i watch you serpentine   oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar   and oh baby let's make reality actuality a reality oh baby let's make reality actuality a reality   oh oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar,2017.0,"['walking', 'street', 'day', 'tryna', 'distract', 'see', 'face', 'oh', 'wait', 'thats', 'someone', 'else', 'play', 'coy', 'make', 'disappear', 'like', 'battle', 'troy', 'there', 'nothing', 'subtle', 'room', 'king', 'size', 'space', 'bigger', 'used', 'want', 'rent', 'place', 'call', 'amenity', 'even', 'dream', 'pre', 'ooh', 'taking', 'fraction', 'mind', 'ooooh', 'every', 'time', 'watch', 'serpentine', 'im', 'tryin', 'think', 'give', 'post', 'feeling', 'fire', 'guess', 'bad', 'liar', 'attention', 'build', 'looking', 'mirror', 'touch', 'happy', 'pill', 'still', 'fear', 'could', 'possibly', 'happen', 'next', 'focus', 'love', 'paint', 'kiss', 'across', 'chest', 'art', 'ill', 'brush', 'baby', 'let', 'reality', 'actuality']",0.316,0.628,0.056,Negative,0.316
Selena Gomez,Look At Her Now,Rare (Target Exclusive),2019-10-24,yeah   they fell in love one summer a little too wild for each other shiny 'til it wasn't feels good 'til it doesn't it was her first real lover his too 'til he had another oh god when she found out trust levels went way down  pre of course she was sad but now she's glad she dodged a bullet mm took a few years to soak up the tears but look at her now watch her go   mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now  post wow look at her now   fast nights that got him that new life was his problem not saying she was perfect still regrets that moment like that night wasn't wrong wasn't right yeah what a thing to be human what a thing to be human made her more of a woman made her more of a woman  pre of course she was sad but now she's glad she dodged a bullet mm took a few years to soak up the tears but look at her now watch her go   mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now look at her now mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now  post ah wow look at her now look at her now look at her now wow look at her now   she knows she'll find love she knows only if she wants it she knows she'll find love she knows she knows she'll find love she knows only if she wants it she knows she'll find love she knows on the up from the way down look at her now watch her go   mmmm look at her now mmmm oh she knows she'll find love she knows she will only if she wants it she knows she'll find love look at her now yeah look at her now she knows she'll find love she knows she will only if she wants it she knows she'll find love wow look at her now,2019.0,"['yeah', 'fell', 'love', 'one', 'summer', 'little', 'wild', 'shiny', 'til', 'feel', 'good', 'first', 'real', 'lover', 'another', 'oh', 'god', 'found', 'trust', 'level', 'went', 'way', 'pre', 'course', 'sad', 'glad', 'dodged', 'bullet', 'mm', 'took', 'year', 'soak', 'tear', 'look', 'watch', 'go', 'mmmmmm', 'mmmm', 'wow', 'post', 'fast', 'night', 'got', 'new', 'life', 'problem', 'saying', 'perfect', 'still', 'regret', 'moment', 'like', 'wrong', 'right', 'thing', 'human', 'made', 'woman', 'ah', 'know', 'shell', 'find', 'want']",0.041,0.698,0.261,Positive,0.261
Selena Gomez,Good for You,Revival,2015-06-22,produced by hitboy nick monson  rock mafia written by julia michaels justin tranter selena gomez and aap rocky   selena gomez i'm on my 4 carats i'm 4 carat doing it up like midas now you say i got a touch so good so good make you never wanna leave so don't so don't  pre selena gomez gonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to your heart beating   selena gomez cause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez i'm on my marquise diamonds i'm a marquise diamond could even make that tiffany jealous you say i give it to you hard so bad so bad make you never wanna leave i won't i won't  pre selena gomez gonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to how you're breathing   selena gomez cause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez trust me i can take you there trust me i can take you there trust me i trust me i trust me i   aap rocky hold on take a minute love cause i ain't trying to fuck your image up like we mess around in triple cuffs stumble 'round town pull your zipper up pants sag like i don't give a i ain't trying to fuck your business up and i ain't trying to get you into stuff but the way you touchin' on me in the club rubbin' on my miniature john hancock fuck the signature any time i hit it know she finna fall through and every time we get up always end up on the news ain't worried bout no press and ain't worried bout the next bitch they love the way you dress and ain't got shit up on you jackpot hit the jackpot just met a bad bitch without the ass shots you look good girl you know you did good don't you you look good girl bet it feel good don't it   selena gomez cause i just wanna look good for you good for you baby let me be good to you good to you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez trust me i trust me i trust me i,2015.0,"['produced', 'hitboy', 'nick', 'monson', 'rock', 'mafia', 'written', 'julia', 'michael', 'justin', 'tranter', 'selena', 'gomez', 'aap', 'rocky', 'im', '4', 'carat', 'like', 'midas', 'say', 'got', 'touch', 'good', 'make', 'never', 'wanna', 'leave', 'pre', 'gonna', 'wear', 'dress', 'skintight', 'hair', 'real', 'nice', 'syncopate', 'skin', 'heart', 'beating', 'cause', 'look', 'let', 'show', 'proud', 'mess', 'floor', 'still', 'marquise', 'diamond', 'could', 'even', 'tiffany', 'jealous', 'give', 'hard', 'bad', 'breathing', 'trust', 'take', 'hold', 'minute', 'love', 'aint', 'trying', 'fuck', 'image', 'around', 'triple', 'cuff', 'stumble', 'round', 'town', 'pull', 'zipper', 'pant', 'sag', 'business', 'get', 'stuff', 'way', 'touchin', 'club', 'rubbin', 'miniature', 'john', 'hancock', 'signature', 'time', 'hit', 'know', 'finna', 'fall', 'every', 'always', 'end', 'news', 'worried', 'bout', 'press', 'next', 'bitch', 'shit', 'jackpot', 'met', 'without', 'as', 'shot', 'girl', 'bet', 'feel', 'baby']",0.061,0.652,0.287,Positive,0.287
Selena Gomez,Hands to Myself,Revival,2016-01-26,can't keep my hands to myself no matter how hard i'm trying to i want you all to myself you're metaphorical gin and juice  so come on give me a taste of what its like to be next to you won't let one drop go to waste you're metaphorical gin and juice  pre cause all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying trying all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying but i   can't keep my hands to myself my hands to myself can't keep my hands to myself my hands to myself   the doctors say you're no good but people say what they wanna say and you should know if i could i'd breathe you in every single day  pre all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying trying all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying but i   can't keep my hands to myself my hands to myself can't keep my hands to myself my hands to myself   can't keep my hands to myself i want it all no nothing else can't keep my hands to myself give me your all and nothing else oh i i want it all i want it all i want it all can't keep my hands to myself i mean i could but why would i want to   my hands to myself can't keep my hands to myself my hands to myself can't keep my hands to myself i want it all no nothing else can't keep my hands to myself give me your all and nothing else can't keep my hands to myself  produced by matt man max martin  da robin written by julia michaels justin tranter matt man max martin  da robin,2016.0,"['cant', 'keep', 'hand', 'matter', 'hard', 'im', 'trying', 'want', 'metaphorical', 'gin', 'juice', 'come', 'give', 'taste', 'like', 'next', 'let', 'one', 'drop', 'go', 'waste', 'pre', 'cause', 'down', 'upper', 'making', 'love', 'doctor', 'say', 'good', 'people', 'wanna', 'know', 'could', 'id', 'breathe', 'every', 'single', 'day', 'nothing', 'else', 'oh', 'mean', 'would', 'produced', 'matt', 'man', 'max', 'martin', 'da', 'robin', 'written', 'julia', 'michael', 'justin', 'tranter']",0.039,0.859,0.102,Positive,0.102
Selena Gomez,Feel Me,Rare (Bonus Track Version),2020-02-21,no one love you like i love ya never cheat never lie never put no one above ya i gave you space and time now you're telling me you miss it and i'm still on your mind we were one in a million and love is hard to find  pre do you stay up late just so you don't dream   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   when you're running who you run to where do you go to hide when she ain't giving you enough to get you through the night won't be caught up in the middle of your highs and your lows baby long as you're not with me you'll always be alone  pre do you stay up late just so you don't dream   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   do you feel me feel me feel me oh feel me feel me feel me   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   every time your lips touch another oh every time you dance with somebody,2020.0,"['one', 'love', 'like', 'ya', 'never', 'cheat', 'lie', 'put', 'gave', 'space', 'time', 'telling', 'miss', 'im', 'still', 'mind', 'million', 'hard', 'find', 'pre', 'stay', 'late', 'dream', 'every', 'lip', 'touch', 'another', 'want', 'feel', 'dance', 'somebody', 'post', 'day', 'get', 'little', 'bit', 'longer', 'night', 'colder', 'heart', 'beat', 'louder', 'oh', 'running', 'run', 'go', 'hide', 'aint', 'giving', 'enough', 'caught', 'middle', 'high', 'low', 'baby', 'long', 'always', 'alone']",0.048,0.868,0.084,Positive,0.084
Selena Gomez,Same Old Love,Revival,2015-09-10,produced by benny blanco and stargate written by benny blanco charli xcx mikkel s eriksen ross golan  tor erik hermansen   selena gomez take away your things and go you can't take back what you said i know i've heard it all before at least a million times i'm not one to forget you know  pre  selena gomez i don't believe i don't believe it you left in peace left me in pieces too hard to breathe i'm on my knees right now   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love   selena gomez i'm not spending any time wasting tonight on you i know i've heard it all so don't you try and change your mind cause i won't be changing too you know  pre  selena gomez you can't believe still can't believe it you left in peace left me in pieces too hard to breathe i'm on my knees right now 'ow   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love   i'm so sick of that so sick of that love i'm so sick of that so sick of that love i'm so sick of that so sick of that love i'm so sick of that so sick of that love   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love,2015.0,"['produced', 'benny', 'blanco', 'stargate', 'written', 'charli', 'xcx', 'mikkel', 'eriksen', 'ross', 'golan', 'tor', 'erik', 'hermansen', 'selena', 'gomez', 'take', 'away', 'thing', 'go', 'cant', 'back', 'said', 'know', 'ive', 'heard', 'least', 'million', 'time', 'im', 'one', 'forget', 'pre', 'believe', 'left', 'peace', 'piece', 'hard', 'breathe', 'knee', 'right', 'sick', 'old', 'love', 'shit', 'tear', 'body', 'enough', 'ohohoh', 'feel', 'like', 'blown', 'apart', 'kind', 'break', 'heart', 'spending', 'wasting', 'tonight', 'try', 'change', 'mind', 'cause', 'changing', 'still', 'ow']",0.179,0.579,0.242,Positive,0.242
Selena Gomez,Rare,Rare (Target Exclusive),2020-01-10,baby you've been so distant from me lately and lately dont even wanna call you baby  pre saw us gettin' older older burnin' toast in the toaster my ambitions were too high waiting up for you upstairs upstairs why you act like im not there baby right now it feels like   it feels like you don't care why don't you recognize i'm so rare always there you don't do the same for me that's not fair i don't have it all i'm not claiming to but i know that im special so special yeah and ill bet there's somebody else out there to tell me im rare to make me feel rare   baby don't make me count up all the reasons to stay with you no reason why you and i are not succeeding ahah mmm ah ah  pre saw us gettin' older oh burnin' toast in the toaster ahha my ambitions were too high too high waiting up for you upstairs upstairs why you act like im not there ahha baby right now it feels like what   it feels like you don't care why don't you recognize i'm so rare i'm so rare always there you don't do the same for me that's not fair i don't have it all i'm not claiming to but i know that i'm special so special yeah and i'll bet there's somebody else out there to tell me i'm rare to make me feel rare yeah yeah   i'm not gonna beg for you i'm not gonna let you make me cry ah nah nah make me cry not getting enough from you nooh didn't you know i'm hard to find find hard to find  pre saw us gettin' older burnin' toast in the toaster my ambitions were too high too high waiting up for you upstairs why you act like i'm not there baby right now it feels like   it feels like you don't care you don't care why don't you recognize i'm so rare so rare i'm always there you don't do the same for me that's that's not not fair i don't have it all i don't have it all i'm not claiming to i'm not claiming to but i know that i'm special so special yeah and i'll bet there's somebody else out there to tell me i'm rare to make me feel rare ooh yeah   ah ah so rare rare ah ah rare,2020.0,"['baby', 'distant', 'lately', 'dont', 'even', 'wanna', 'call', 'pre', 'saw', 'u', 'gettin', 'older', 'burnin', 'toast', 'toaster', 'ambition', 'high', 'waiting', 'upstairs', 'act', 'like', 'im', 'right', 'feel', 'care', 'recognize', 'rare', 'always', 'thats', 'fair', 'claiming', 'know', 'special', 'yeah', 'ill', 'bet', 'there', 'somebody', 'else', 'tell', 'make', 'count', 'reason', 'stay', 'succeeding', 'ahah', 'mmm', 'ah', 'oh', 'ahha', 'gonna', 'beg', 'let', 'cry', 'nah', 'getting', 'enough', 'nooh', 'hard', 'find', 'ooh']",0.092,0.768,0.14,Positive,0.14
