Artist,Title,Album,Date,Lyric,Year,words,negative,neutral,positive,dominant_sentiment,dominant_sentiment_score
Taylor Swift,​cardigan,folklore,2020-07-24,vintage tee brand new phone high heels on cobblestones when you are young they assume you know nothing sequin smile black lipstick sensual politics when you are young they assume you know nothing   but i knew you dancin' in your levi's drunk under a streetlight i i knew you hand under my sweatshirt baby kiss it better i  refrain and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite   a friend to all is a friend to none chase two girls lose the one when you are young they assume you know nothing   but i knew you playing hideandseek and giving me your weekends i i knew you your heartbeat on the high line once in twenty lifetimes i  refrain and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite   to kiss in cars and downtown bars was all we needed you drew stars around my scars but now i'm bleedin'   'cause i knew you steppin' on the last train marked me like a bloodstain i i knew you tried to change the ending peter losing wendy i i knew you leavin' like a father running like water i and when you are young they assume you know nothing   but i knew you'd linger like a tattoo kiss i knew you'd haunt all of my whatifs the smell of smoke would hang around this long 'cause i knew everything when i was young i knew i'd curse you for the longest time chasin' shadows in the grocery line i knew you'd miss me once the thrill expired and you'd be standin' in my front porch light and i knew you'd come back to me you'd come back to me and you'd come back to me and you'd come back  refrain and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite,2020.0,"['vintage', 'tee', 'brand', 'new', 'phone', 'high', 'heel', 'cobblestone', 'young', 'assume', 'know', 'nothing', 'sequin', 'smile', 'black', 'lipstick', 'sensual', 'politics', 'knew', 'dancin', 'levi', 'drunk', 'streetlight', 'hand', 'sweatshirt', 'baby', 'kiss', 'better', 'refrain', 'felt', 'like', 'old', 'cardigan', 'someone', 'bed', 'put', 'said', 'favorite', 'friend', 'none', 'chase', 'two', 'girl', 'lose', 'one', 'playing', 'hideandseek', 'giving', 'weekend', 'heartbeat', 'line', 'twenty', 'lifetime', 'car', 'downtown', 'bar', 'needed', 'drew', 'star', 'around', 'scar', 'im', 'bleedin', 'cause', 'steppin', 'last', 'train', 'marked', 'bloodstain', 'tried', 'change', 'ending', 'peter', 'losing', 'wendy', 'leavin', 'father', 'running', 'water', 'linger', 'tattoo', 'haunt', 'whatifs', 'smell', 'smoke', 'would', 'hang', 'long', 'everything', 'id', 'curse', 'longest', 'time', 'chasin', 'shadow', 'grocery', 'miss', 'thrill', 'expired', 'standin', 'front', 'porch', 'light', 'come', 'back']",0.059,0.748,0.193,Positive,0.193
Taylor Swift,​exile,folklore,2020-07-24,justin vernon i can see you standing honey with his arms around your body laughin' but the joke's not funny at all and it took you five whole minutes to pack us up and leave me with it holdin' all this love out here in the hall   justin vernon i think i've seen this film before and i didn't like the ending you're not my homeland anymore so what am i defending now you were my town now i'm in exile seein' you out i think i've seen this film before  post justin vernon ooh ooh ooh   taylor swift i can see you starin' honey like he's just your understudy like you'd get your knuckles bloody for me second third and hundredth chances balancin' on breaking branches those eyes add insult to injury   taylor swift i think i've seen this film before and i didn't like the ending i'm not your problem anymore so who am i offending now you were my crown now i'm in exile seein' you out i think i've seen this film before so i'm leaving out the side door   justin vernon taylor swift  both so step right out there is no amount of crying i can do for you all this time we always walked a very thin line you didn't even hear me out you didn't even hear me out you never gave a warning sign i gave so many signs all this time i never learned to read your mind never learned to read my mind i couldn't turn things around you never turned things around 'cause you never gave a warning sign i gave so many signs so many signs so many signs you didn't even see the signs   taylor swift  justin vernon taylor swift i think i've seen this film before and i didn't like the ending you're not my homeland anymore so what am i defending now you were my town now i'm in exile seein' you out i think i've seen this film before so i'm leavin' out the side door   justin vernon  taylor swift so step right out there is no amount of crying i can do for you all this time we always walked a very thin line you didn't even hear me out didn't even hear me out you never gave a warning sign i gave so many signs all this time i never learned to read your mind never learned to read my mind i couldn't turn things around you never turned things around 'cause you never gave a warning sign i gave so many signs you never gave a warning sign all this time so many times i never learned to read your mind so many signs i couldn't turn things around i couldn't turn things around 'cause you never gave a warning sign you never gave a warning sign you never gave a warning sign ah ah,2020.0,"['justin', 'vernon', 'see', 'standing', 'honey', 'arm', 'around', 'body', 'laughin', 'joke', 'funny', 'took', 'five', 'whole', 'minute', 'pack', 'u', 'leave', 'holdin', 'love', 'hall', 'think', 'ive', 'seen', 'film', 'like', 'ending', 'homeland', 'anymore', 'defending', 'town', 'im', 'exile', 'seein', 'post', 'ooh', 'taylor', 'swift', 'starin', 'he', 'understudy', 'get', 'knuckle', 'bloody', 'second', 'third', 'hundredth', 'chance', 'balancin', 'breaking', 'branch', 'eye', 'add', 'insult', 'injury', 'problem', 'offending', 'crown', 'leaving', 'side', 'door', 'step', 'right', 'amount', 'cry', 'time', 'always', 'walked', 'thin', 'line', 'even', 'hear', 'never', 'gave', 'warning', 'sign', 'many', 'learned', 'read', 'mind', 'turn', 'thing', 'turned', 'cause', 'leavin', 'ah']",0.095,0.815,0.09,Negative,0.095
Taylor Swift,Lover,Lover,2019-08-16,we could leave the christmas lights up 'til january and this is our place we make the rules and there's a dazzling haze a mysterious way about you dear have i known you 0 seconds or 0 years   can i go where you go can we always be this close forever and ever ah take me out and take me home you're my my my my lover   we could let our friends crash in the living room this is our place we make the call and i'm highly suspicious that everyone who sees you wants you i've loved you three summers now honey but i want 'em all   can i go where you go can we always be this close forever and ever ah take me out and take me home forever and ever you're my my my my lover   ladies and gentlemen will you please stand with every  string scar on my hand i take this magnetic force of a man to be my lover my heart's been borrowed and yours has been blue all's well that ends well to end up with you swear to be overdramatic and true to my lover and you'll save all your dirtiest jokes for me and at every table i'll save you a seat lover   can i go where you go can we always be this close forever and ever ah take me out and take me home forever and ever you're my my my my oh you're my my my my darling you're my my my my lover,2019.0,"['could', 'leave', 'christmas', 'light', 'til', 'january', 'place', 'make', 'rule', 'there', 'dazzling', 'haze', 'mysterious', 'way', 'dear', 'known', '0', 'second', 'year', 'go', 'always', 'close', 'forever', 'ever', 'ah', 'take', 'home', 'lover', 'let', 'friend', 'crash', 'living', 'room', 'call', 'im', 'highly', 'suspicious', 'everyone', 'see', 'want', 'ive', 'loved', 'three', 'summer', 'honey', 'em', 'lady', 'gentleman', 'please', 'stand', 'every', 'string', 'scar', 'hand', 'magnetic', 'force', 'man', 'heart', 'borrowed', 'blue', 'alls', 'well', 'end', 'swear', 'overdramatic', 'true', 'save', 'dirtiest', 'joke', 'table', 'ill', 'seat', 'oh', 'darling']",0.036,0.736,0.229,Positive,0.229
Taylor Swift,​the 1,folklore,2020-07-24,i'm doing good i'm on some new shit been saying yes instead of no i thought i saw you at the bus stop i didn't though i hit the ground running each night i hit the sunday matinée you know the greatest films of all time were never made  pre i guess you never know never know and if you wanted me you really should've showed and if you never bleed you're never gonna grow and it's alright now   but we were something don't you think so roaring twenties tossing pennies in the pool and if my wishes came true it would've been you in my defense i have none for never leaving well enough alone but it would've been fun if you would've been the one ooh   i have this dream you're doing cool shit having adventures on your own you meet some woman on the internet and take her home we never painted by the numbers baby but we were making it count you know the greatest loves of all time are over now  pre i guess you never know never know and it's another day waking up alone   but we were something don't you think so roaring twenties tossing pennies in the pool and if my wishes came true it would've been you in my defense i have none for never leaving well enough alone but it would've been fun if you would've been the one   i i i persist and resist the temptation to ask you if one thing had been different would everything be different today   we were something don't you think so rosé flowing with your chosen family and it would've been sweet if it could've been me in my defense i have none for digging up the grave another time but it would've been fun if you would've been the one ooh,2020.0,"['im', 'good', 'new', 'shit', 'saying', 'yes', 'instead', 'thought', 'saw', 'bus', 'stop', 'though', 'hit', 'ground', 'running', 'night', 'sunday', 'matinée', 'know', 'greatest', 'film', 'time', 'never', 'made', 'pre', 'guess', 'wanted', 'really', 'showed', 'bleed', 'gonna', 'grow', 'alright', 'something', 'think', 'roaring', 'twenty', 'tossing', 'penny', 'pool', 'wish', 'came', 'true', 'wouldve', 'defense', 'none', 'leaving', 'well', 'enough', 'alone', 'fun', 'one', 'ooh', 'dream', 'cool', 'adventure', 'meet', 'woman', 'internet', 'take', 'home', 'painted', 'number', 'baby', 'making', 'count', 'love', 'another', 'day', 'waking', 'persist', 'resist', 'temptation', 'ask', 'thing', 'different', 'would', 'everything', 'today', 'rosé', 'flowing', 'chosen', 'family', 'sweet', 'couldve', 'digging', 'grave']",0.073,0.753,0.173,Positive,0.173
Taylor Swift,Look What You Made Me Do,reputation,2017-08-25,i don't like your little games don't like your tilted stage the role you made me play of the fool no i don't like you i don't like your perfect crime how you laugh when you lie you said the gun was mine isn't cool no i don't like you oh  pre but i got smarter i got harder in the nick of time honey i rose up from the dead i do it all the time i've got a list of names and yours is in red underlined i check it once then i check it twice oh   ooh look what you made me do look what you made me do look what you just made me do look what you just made me ooh look what you made me do look what you made me do look what you just made me do look what you just made me do   i don't like your kingdom keys they once belonged to me you asked me for a place to sleep locked me out and threw a feast what the world moves on another day another drama drama but not for me not for me all i think about is karma and then the world moves on but one thing's for sure maybe i got mine but you'll all get yours  pre but i got smarter i got harder in the nick of time honey i rose up from the dead i do it all the time i've got a list of names and yours is in red underlined i check it once then i check it twice oh   ooh look what you made me do look what you made me do look what you just made me do look what you just made me ooh look what you made me do look what you made me do look what you just made me do look what you just made me do   i don't trust nobody and nobody trusts me i'll be the actress starring in your bad dreams i don't trust nobody and nobody trusts me i'll be the actress starring in your bad dreams i don't trust nobody and nobody trusts me i'll be the actress starring in your bad dreams i don't trust nobody and nobody trusts me i'll be the actress starring in your bad dreams ooh look what you made me do look what you made me do look what you just made me do look what you just made me ooh look what you made me do look what you made me do look what you just made me i'm sorry the old taylor can't come to the phone right now why oh 'cause she's dead oh   ooh look what you made me do look what you made me do look what you just made me do look what you just made me ooh look what you made me do look what you made me do look what you just made me do look what you just made me do ooh look what you made me do look what you made me do look what you just made me do look what you just made me ooh look what you made me do look what you made me do look what you just made me do look what you just made me do,2017.0,"['like', 'little', 'game', 'tilted', 'stage', 'role', 'made', 'play', 'fool', 'perfect', 'crime', 'laugh', 'lie', 'said', 'gun', 'mine', 'cool', 'oh', 'pre', 'got', 'smarter', 'harder', 'nick', 'time', 'honey', 'rose', 'dead', 'ive', 'list', 'name', 'red', 'underlined', 'check', 'twice', 'ooh', 'look', 'kingdom', 'key', 'belonged', 'asked', 'place', 'sleep', 'locked', 'threw', 'feast', 'world', 'move', 'another', 'day', 'drama', 'think', 'karma', 'one', 'thing', 'sure', 'maybe', 'get', 'trust', 'nobody', 'ill', 'actress', 'starring', 'bad', 'dream', 'im', 'sorry', 'old', 'taylor', 'cant', 'come', 'phone', 'right', 'cause']",0.123,0.805,0.072,Negative,0.123
Taylor Swift,​betty,folklore,2020-07-24,betty i won't make assumptions about why you switched your homeroom but i think it's 'cause of me betty one time i was riding on my skateboard when i passed your house it's like i couldn't breathe  pre you heard the rumors from inez you can't believe a word she says most times but this time it was true the worst thing that i ever did was what i did to you   but if i just showed up at your party would you have me would you want me would you tell me to go fuck myself or lead me to the garden in the garden would you trust me if i told you it was just a summer thing i'm only seventeen i don't know anything but i know i miss you   betty i know where it all went wrong your favorite song was playing from the far side of the gym i was nowhere to be found i hate the crowds you know that plus i saw you dance with him  pre you heard the rumors from inez you can't believe a word she says most times but this time it was true the worst thing that i ever did was what i did to you   but if i just showed up at your party would you have me would you want me would you tell me to go fuck myself or lead me to the garden in the garden would you trust me if i told you it was just a summer thing i'm only seventeen i don't know anything but i know i miss you   i was walking home on broken cobblestones just thinking of you when she pulled up like a figment of my worst intentions she said james get in let's drive those days turned into nights slept next to her but i dreamt of you all summer long   betty i'm here on your doorstep and i planned it out for weeks now but it's finally sinkin' in betty right now is the last time i can dream about what happens when you see my face again  pre the only thing i wanna do is make it up to you so i showed up at your party yeah i showed up at your party   yeah i showed up at your party will you have me will you love me will you kiss me on the porch in front of all your stupid friends if you kiss me will it be just like i dreamed it will it patch your broken wings i'm only seventeen i don't know anything but i know i miss you   standing in your cardigan kissin' in my car again stopped at a streetlight you know i miss you,2020.0,"['betty', 'make', 'assumption', 'switched', 'homeroom', 'think', 'cause', 'one', 'time', 'riding', 'skateboard', 'passed', 'house', 'like', 'breathe', 'pre', 'heard', 'rumor', 'inez', 'cant', 'believe', 'word', 'say', 'true', 'worst', 'thing', 'ever', 'showed', 'party', 'would', 'want', 'tell', 'go', 'fuck', 'lead', 'garden', 'trust', 'told', 'summer', 'im', 'seventeen', 'know', 'anything', 'miss', 'went', 'wrong', 'favorite', 'song', 'playing', 'far', 'side', 'gym', 'nowhere', 'found', 'hate', 'crowd', 'plus', 'saw', 'dance', 'walking', 'home', 'broken', 'cobblestone', 'thinking', 'pulled', 'figment', 'intention', 'said', 'james', 'get', 'let', 'drive', 'day', 'turned', 'night', 'slept', 'next', 'dreamt', 'long', 'doorstep', 'planned', 'week', 'finally', 'sinkin', 'right', 'last', 'dream', 'happens', 'see', 'face', 'wanna', 'yeah', 'love', 'kiss', 'porch', 'front', 'stupid', 'friend', 'dreamed', 'patch', 'wing', 'standing', 'cardigan', 'kissin', 'car', 'stopped', 'streetlight']",0.114,0.734,0.152,Positive,0.152
Taylor Swift,End Game,reputation,2017-11-10,taylor swift  future i wanna be your end game i wanna be your first string i wanna be your ateam whoa whoa whoa i wanna be your end game end game  post taylor swift  future big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies yeah big reputation big reputation ooh you and me would be a big conversation ah git git and i heard about you ooh yeah you like the bad ones too   future you so dope don't overdose im so stoked i need a toast we do the most i'm in the ghost like i'm whippin a boat i got a reputation girl that don't precede me yeah i'm one call away whenever you need me yeah i'm in a g5 yeah come to the aside yeah i got a bad boy persona that's what they like what they like you love it i love it too 'cause you my type you my type you hold me down and i protect you with my life  pre taylor swift  future i don't wanna touch you i don't wanna be just another exlove you dont wanna see i dont wanna miss you i don't wanna miss you like the other girls do i dont wanna hurt you i just wanna be drinking on a beach with you all over me i know what they all say i know what they all say but i ain't tryna play   taylor swift i wanna be your end game end game i wanna be your first string first string i wanna be your ateam ateam i wanna be your end game end game   ed sheeran knew her when i was young reconnected when we were little bit older both sprung i got issues and chips on both of my shoulders reputation precedes me in rumors i'm kneedeep the truth is it's easier to ignore it believe me even when wed argue we'd not do it for long and you understand the good and bad end up in the song for all your beautiful traits and the way you do it with ease for all my flaws paranoia and insecurities i've made mistakes and made some choices that's hard to deny after the storm something was born on the 4th of july i've passed days without fun this end game is the one with four words on the tip of my tongue i'll never say it  pre taylor swift i don't wanna touch you i don't wanna be just another exlove you don't wanna see i don't wanna miss you i don't wanna miss you like the other girls do i don't wanna hurt you i just wanna be drinking on a beach with you all over me i know what they all say yeah but i ain't tryna play   taylor swift i wanna be your end game end game i wanna be your first string wanna be your first string i wanna be your ateam ateam i wanna be your end game end game  post taylor swift  future big reputation big reputation ooh you and me we got big reputations ah and you heard about me ooh i got some big enemies hey big reputation big reputation ooh you and me would be a big conversation ah and i heard about you ooh you like the bad ones too   taylor swift i hit you like bang we tried to forget it but we just couldn't and i bury hatchets but i keep maps of where i put 'em reputation precedes me they told you i'm crazy i swear i don't love the drama it loves me and i can't let you go your hand prints on my soul it's like your eyes are liquor it's like your body is gold you've been calling my bluff on all my usual tricks so here's the truth from my red lips   taylor swift future  ed sheeran i wanna be your end game end game i wanna be your first string me and you first string i wanna be your ateam be your ateam now ateam i wanna be your end game end game i wanna be your end game oh i do i wanna be your first string first string i wanna be your ateam ateam i wanna be your end game end game,2017.0,"['taylor', 'swift', 'future', 'wanna', 'end', 'game', 'first', 'string', 'ateam', 'whoa', 'post', 'big', 'reputation', 'ooh', 'got', 'ah', 'heard', 'enemy', 'yeah', 'would', 'conversation', 'git', 'like', 'bad', 'one', 'dope', 'overdose', 'im', 'stoked', 'need', 'toast', 'ghost', 'whippin', 'boat', 'girl', 'precede', 'call', 'away', 'whenever', 'g5', 'come', 'aside', 'boy', 'persona', 'thats', 'love', 'cause', 'type', 'hold', 'protect', 'life', 'pre', 'touch', 'another', 'exlove', 'dont', 'see', 'miss', 'hurt', 'drinking', 'beach', 'know', 'say', 'aint', 'tryna', 'play', 'ed', 'sheeran', 'knew', 'young', 'reconnected', 'little', 'bit', 'older', 'sprung', 'issue', 'chip', 'shoulder', 'precedes', 'rumor', 'kneedeep', 'truth', 'easier', 'ignore', 'believe', 'even', 'wed', 'argue', 'long', 'understand', 'good', 'song', 'beautiful', 'trait', 'way', 'ease', 'flaw', 'paranoia', 'insecurity', 'ive', 'made', 'mistake', 'choice', 'hard', 'deny', 'storm', 'something', 'born', '4th', 'july', 'passed', 'day', 'without', 'fun', 'four', 'word', 'tip', 'tongue', 'ill', 'never', 'hey', 'hit', 'bang', 'tried', 'forget', 'bury', 'hatchet', 'keep', 'map', 'put', 'em', 'told', 'crazy', 'swear', 'drama', 'cant', 'let', 'go', 'hand', 'print', 'soul', 'eye', 'liquor', 'body', 'gold', 'calling', 'bluff', 'usual', 'trick', 'here', 'red', 'lip', 'oh']",0.077,0.781,0.142,Positive,0.142
Taylor Swift,ME!,Lover,2019-04-26,taylor swift i promise that you'll never find another like me   taylor swift i know that i'm a handful baby uh i know i never think before i jump and you're the kind of guy the ladies want and there's a lot of cool chicks out there i know that i went psycho on the phone i never leave well enough alone and trouble's gonna follow where i go and there's a lot of cool chicks out there  pre taylor swift but one of these things is not like the others like a rainbow with all of the colors baby doll when it comes to a lover i promise that you'll never find another like   taylor swift meee oohoohoohooh i'm the only one of me baby that's the fun of me eeheeheeh oohoohoohooh you're the only one of you baby that's the fun of you and i promise that nobody's gonna love you like meee   brendon urie  taylor swift i know i tend to make it about me i know you never get just what you see but i will never bore you baby and there's a lot of lame guys out there and when we had that fight out in the rain you ran after me and called my name i never wanna see you walk away and there's a lot of lame guys out there  pre taylor swift  brendon urie brendon urie 'cause one of these things is not like the others livin' in winter i am your summer baby doll when it comes to a lover i promise that you'll never find another like   brendon urie taylor swift  brendon urie meee oohoohoohooh i'm the only one of me let me keep you company eeheeheeh oohoohoohooh you're the only one of you baby that's the fun of you and i promise that nobody's gonna love you like meee   brendon urie taylor swift  both girl there ain't no i in team but you know there is a me strike the band up    i promise that you'll never find another like me girl there ain't no i in team but you know there is a me and you can't spell awesome without me i promise that you'll never find another like   both taylor swift  brendon urie meee yeah oohoohoohooh and i want ya baby i'm the only one of me i'm the only one of me baby that's the fun of me baby that's the fun of me eeheeheeh oohoohoohooh oh you're the only one of you oh baby that's the fun of you and i promise that nobody's gonna love you like meee   brendon urie taylor swift  both girl there ain't no i in team oohoohoohooh but you know there is a me i'm the only one of me ohoh baby that's the fun of me eeheeheeh oohoohoohooh strike the band up    you can't spell awesome without me you're the only one of you baby that's the fun of you and i promise that nobody's gonna love you like meee,2019.0,"['taylor', 'swift', 'promise', 'never', 'find', 'another', 'like', 'know', 'im', 'handful', 'baby', 'uh', 'think', 'jump', 'kind', 'guy', 'lady', 'want', 'there', 'lot', 'cool', 'chick', 'went', 'psycho', 'phone', 'leave', 'well', 'enough', 'alone', 'trouble', 'gonna', 'follow', 'go', 'pre', 'one', 'thing', 'others', 'rainbow', 'color', 'doll', 'come', 'lover', 'meee', 'oohoohoohooh', 'thats', 'fun', 'eeheeheeh', 'nobody', 'love', 'brendon', 'urie', 'tend', 'make', 'get', 'see', 'bore', 'lame', 'fight', 'rain', 'ran', 'called', 'name', 'wanna', 'walk', 'away', 'cause', 'livin', 'winter', 'summer', 'let', 'keep', 'company', 'girl', 'aint', 'team', 'strike', 'band', 'cant', 'spell', 'awesome', 'without', 'yeah', 'ya', 'oh', 'ohoh']",0.096,0.678,0.226,Positive,0.226
Taylor Swift,You Need To Calm Down,Lover,2019-06-14,you are somebody that i don't know but you're takin' shots at me like it's patrón and i'm just like damn it's 7 am say it in the street that's a knockout but you say it in a tweet that's a copout and i'm just like hey are you okay  pre and i ain't tryna mess with your selfexpression but i've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun and snakes and stones never broke my bones   so ohoh ohoh ohoh ohoh ohoh you need to calm down you're being too loud and i'm just like ohoh ohoh ohoh ohoh ohoh oh you need to just stop like can you just not step on my gown you need to calm down   you are somebody that we don't know but you're comin' at my friends like a missile why are you mad when you could be glaad you could be glaad sunshine on the street at the parade but you would rather be in the dark ages makin' that sign must've taken all night  pre you just need to take several seats and then try to restore the peace and control your urges to scream about all the people you hate 'cause shade never made anybody less gay   so ohoh ohoh ohoh ohoh ohoh you need to calm down you're being too loud and i'm just like ohoh ohoh ohoh ohoh ohoh oh you need to just stop like can you just not step on his gown you need to calm down   and we see you over there on the internet comparing all the girls who are killing it but we figured you out we all know now we all got crowns you need to calm down   ohoh ohoh ohoh ohoh ohoh you need to calm down you need to calm down you're being too loud you're being too loud and i'm just like ohoh ohoh ohoh ohoh ohoh oh you need to just stop can you stop like can you just not step on our gowns you need to calm down,2019.0,"['somebody', 'know', 'takin', 'shot', 'like', 'patrón', 'im', 'damn', '7', 'say', 'street', 'thats', 'knockout', 'tweet', 'copout', 'hey', 'okay', 'pre', 'aint', 'tryna', 'mess', 'selfexpression', 'ive', 'learned', 'lesson', 'stressin', 'obsessin', 'bout', 'else', 'fun', 'snake', 'stone', 'never', 'broke', 'bone', 'ohoh', 'need', 'calm', 'loud', 'oh', 'stop', 'step', 'gown', 'comin', 'friend', 'missile', 'mad', 'could', 'glaad', 'sunshine', 'parade', 'would', 'rather', 'dark', 'age', 'makin', 'sign', 'mustve', 'taken', 'night', 'take', 'several', 'seat', 'try', 'restore', 'peace', 'control', 'urge', 'scream', 'people', 'hate', 'cause', 'shade', 'made', 'anybody', 'le', 'gay', 'see', 'internet', 'comparing', 'girl', 'killing', 'figured', 'got', 'crown']",0.086,0.714,0.2,Positive,0.2
Taylor Swift,​august,folklore,2020-07-24,salt air and the rust on your door i never needed anything more whispers of are you sure never have i ever before   but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine   your back beneath the sun wishin' i could write my name on it will you call when you're back at school i remember thinkin' i had you   but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine   back when we were still changin' for the better wanting was enough for me it was enough to live for the hope of it all cancel plans just in case you'd call and say meet me behind the mall so much for summer love and saying us 'cause you weren't mine to lose you weren't mine to lose no   but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine   'cause you were never mine never mine but do you remember remember when i pulled up and said get in the car and then canceled my plans just in case you'd call back when i was livin' for the hope of it all for the hope of it all meet me behind the mall remember when i pulled up and said get in the car and then canceled my plans just in case you'd call back when i was livin' for the hope of it all for the hope of it all meet me behind the mall remember when i pulled up and said get in the car and then canceled my plans just in case you'd call back when i was livin' for the hope of it all for the hope of it all for the hope of it all for the hope of it all for the hope of it all for the hope of it all,2020.0,"['salt', 'air', 'rust', 'door', 'never', 'needed', 'anything', 'whisper', 'sure', 'ever', 'see', 'u', 'lost', 'memory', 'august', 'slipped', 'away', 'moment', 'time', 'cause', 'mine', 'twisted', 'bedsheets', 'sipped', 'like', 'bottle', 'wine', 'back', 'beneath', 'sun', 'wishin', 'could', 'write', 'name', 'call', 'school', 'remember', 'thinkin', 'still', 'changin', 'better', 'wanting', 'enough', 'live', 'hope', 'cancel', 'plan', 'case', 'say', 'meet', 'behind', 'mall', 'much', 'summer', 'love', 'saying', 'lose', 'pulled', 'said', 'get', 'car', 'canceled', 'livin']",0.033,0.808,0.16,Positive,0.16
